key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-601300131,A new machine learning technique for predicting traumatic injuries outcomes based on the vital signs,2019,,,2019 25th International Conference on Automation and Computing (ICAC),,,,1-5,F. Almaghrabi and D. -L. Xu and J. -B. Yang,,,IEEE,,"Traditional vital signs are an essential part of triage assessment in emergency departments (ED), and have been widely used in trauma prediction models. Previous researchers have studied the effect of vital signs scores on predicting traumatic injury outcomes and have found it to be significant. Based on the vital signs’ scores, an Interpretable Machine Learning (IML) method is proposed to predict patient outcomes and is compared with various ML algorithms. Results indicate that the IML method has a comparable performance with a mean AUC of 0.683, and its interpretability would help in the early identification of trauma patients at risk of mortality.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Maybe""}",10.23919/IConAC.2019.8895012,Trauma outcome prediction;Interpretable machine learning technique;Vital signs;Belief rule-based inference;Maximum likelihood evidential reasoning,,
rayyan-601300132,Predicting Patient Discharge Disposition in Acute Neurological Care,2021,,,2021 IEEE Symposium Series on Computational Intelligence (SSCI),,,,1-8,C. F. Mickle and D. Deb,,,IEEE,,"Acute neurological complications are some of the leading causes of death and disability in the U.S. and the medical professionals that treat patients in this setting are tasked with deciding where (e.g., home or facility), how, and when to discharge these patients. It is important to be able to predict ahead of time these potential patient discharge outcomes and to know what factors influence the development of discharge planning for such adults receiving care for neurological conditions in an acute setting. The goal of this study is to develop predictive models exploring which patient characteristics and clinical variables significantly influence discharge planning with the hope that the models can be used in a suggestive context to help guide healthcare providers in efforts of planning effective, equitable discharge recommendations. Our methodology centers around building and training five different machine learning models followed by testing and tuning those models to find the best-suited predictor with a dataset of 5,245 adult patients with neurological conditions taken from the eICU-CRD database. The results of this study show XGBoost to be the most effective model for predicting between four common discharge outcomes of ‘home’, ‘nursing facility’, ‘rehab’, and ‘death’, with 71% average c-statistic. This research also explores the accuracy, reliability, and interpretability of the best performing model by identifying and analyzing the features that are most impactful to the predictions.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/SSCI50451.2021.9659904,machine learning;discharge planning;explainability;neurological,,
rayyan-601300133,PathFinder: A Multi-Modal Multi-Agent System for Medical Diagnostic Decision-Making Applied to Histopathology,2025,,,2025 IEEE/CVF International Conference on Computer Vision (ICCV),2380-7504,,,23431-23441,F. Ghezloo and M. S. Seyfioglu and R. Soraki and W. O. Ikezogwo and B. Li and T. Vivekanandan and J. G. Elmore and R. Krishna and L. Shapiro,,,IEEE,,"Diagnosing diseases through histopathology whole slide images (WSIs) is fundamental in modern pathology but is challenged by the gigapixel scale and complexity of WSIs. Trained histopathologists overcome this challenge by navigating the WSI, looking for relevant patches, taking notes, and compiling them to produce a final holistic diagnostic. Traditional AI approaches, such as multiple instance learning and transformer-based models, fail short of such a holistic, iterative, multi-scale diagnostic procedure, limiting their adoption in the real-world. We introduce PathFinder, a multi-modal, multi-agent framework that emulates the decision-making process of expert pathologists. PathFinder integrates four AI agents—the Triage Agent, Navigation Agent, Description Agent, and Diagnosis Agent—that collaboratively navigate WSIs, gather evidence, and provide comprehensive diagnoses with natural language explanations. The Triage Agent classifies the WSI as benign or risky; if risky, the Navigation and Description Agents iteratively focus on significant regions, generating importance maps and descriptive insights of sampled patches. Finally, the Diagnosis Agent synthesizes the findings to determine the patient's diagnostic classification. Our Experiments show that PathFinder outperforms state-of-the-art methods in skin melanoma diagnosis by 8% while offering inherent explainability through natural language descriptions of diagnostically relevant patches. Qualitative analysis by pathologists shows that the Description Agent's outputs are of high quality and comparable to GPT4o. PathFinder is also the first AI-based system to surpass the average performance of pathologists in this challenging melanoma classification task by 9%, setting a new record for efficient, accurate, and interpretable AI-assisted diagnostics in pathology. Data, code and models are available at https://pathfinder-dx.github.io/.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ICCV51701.2025.02175,digital pathology;diagnostic ai;multi-agent systems;multimodal learning;vision-language models,,
rayyan-601300134,Artificial Intelligence in Demand and Capacity Modelling of Healthcare Systems,2026,,,IEEE Journal of Biomedical and Health Informatics,2168-2208,,99,1-16,C. Ribeiro and Y. Fan and C. Mullins and S. Williamson and J. Beard and P. Kourtessis and I. Mporas,,,IEEE,,"The increasing complexity of healthcare systems management requires the development of advanced methodologies to support efficient resource allocation, service delivery, and strategic planning. Artificial intelligence has emerged as an important tool in this domain, offering capabilities to model demand, predict capacity requirements, and inform operational decisions through data-driven insights. This article provides a comprehensive scoping review of AI-based approaches for demand and capacity modelling in healthcare systems. Specifically, it examines AI methods applied to key demand prediction tasks, including outpatient activity, emergency department attendances, hospital admissions and readmissions, and length of stay, as well as capacity planning for beds, workforce, equipment, and other critical resources. The review reports trends in AI models design, learning paradigms, performance reporting, and data usage, and highlights the relationship between demand modelling and downstream capacity predictions. In addition, the paper analyses data infrastructure requirements, commonly used datasets, and the growing role of explainable AI in supporting transparency and trust. Despite recent advances in the field, the integration of AI into healthcare systems faces significant challenges, including concerns related to privacy, ethics, data quality, interpretability, bias, scalability, policy variation, and data interoperability. Addressing these challenges is essential to develop sustainable, fair and resilient healthcare systems. Our review highlights the current state and gaps in the literature, and proposes future directions for advancing the use of AI in healthcare management systems are reviewed.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/JBHI.2026.3703213,Artificial Intelligence;Explainable AI;Machine Learning;Healthcare Management;Healthcare Demand Prediction;Healthcare Capacity Planning;Healthcare Operations Management;Medical Services,,
rayyan-601300135,Cross-Regional and Interpretable Marine Mucilage Monitoring Using Spectral Indices and SHAP,2025,,,2025 Joint Urban Remote Sensing Event (JURSE),2642-9535,,,1-4,F. Yardımcı and Ç. Esi and A. Ertürk,,,IEEE,,"The recurring phenomenon of marine mucilage in the Mediterranean region highlights the urgent need for effective environmental monitoring of marine ecosystems under stress. This study leverages Sentinel-2 multispectral imagery and incorporates a wide range of spectral indices to develop a CNN-based classification model for marine mucilage detection and mapping. The model was trained and validated on data of the Sea of Marmara, acquired in 2021, and tested on data from the Adriatic Sea, acquired in August 10, 2024, to evaluate its generalizability across geographically distinct regions. A SHAP-based explainability analysis was employed to assess the contributions of individual spectral indices to model predictions. The results highlight the robustness of key indices in mucilage detection and reveal new insights into their applicability across diverse environmental contexts, providing a foundation for broader monitoring applications in the Mediterranean.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/JURSE60372.2025.11076015,Environmental monitoring;eXplainable Artifi-cial Intelligence (XAI);marine mucilage;spectral indices;SHap-ley Additive exPlanations (SHAP),,
rayyan-601300136,AI-Driven Assistance for Rapid Dermatology Triage,2025,,,2025 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things (ICoICI),,,,1758-1763,G. Sowmya and N. Jayasree and V. Chaithanya and T. Meena and B. U. Ranni and G. Aishwarya,,,IEEE,,"Long waiting times for dermatology consultations significantly impact patient satisfaction and treatment outcomes, particularly for severe conditions requiring urgent care. This work presents SkinAI: Virtual Dermatology Assistant for Triage Acceleration, an AI-driven system leveraging computer vision and deep learning to analyze images of skin conditions uploaded by patients. The system determines the urgency level of each case and prioritizes severe conditions for immediate attention, thereby optimizing resource allocation in dermatology clinics. Continuous training on diverse and updated datasets enables SkinAI to identify a wide range of skin diseases accurately, accommodating variations in skin tones and conditions. By providing rapid and precise preliminary assessments, the system empowers dermatologists to focus on critical cases, reduces waiting times, and enhances overall healthcare efficiency. Initial evaluations demonstrate high diagnostic accuracy and sensitivity for urgent cases, underscoring the potential of SkinAI to improve patient outcomes and transform dermatological practice","RAYYAN-INCLUSION: {""ANIRBAN""=>""Maybe""}",10.1109/ICoICI65217.2025.11252685,Triage Recommendation;Skin condition;Patient satisfaction;Dermatology;image Recognition Introduction,,
rayyan-601300138,Transfer Learning for Automated COVID-19 B-Line Classification in Lung Ultrasound,2022,,,2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2694-0604,,,1675-1681,J. R. Pare and L. A. Gjesteby and B. A. Telfer and M. M. Tonelli and M. M. Leo and E. Billatos and J. Scalera and L. J. Brattain,,,IEEE,,"Lung ultrasound (LUS) as a diagnostic tool is gaining support for its role in the diagnosis and management of COVID-19 and a number of other lung pathologies. B-lines are a predominant feature in COVID-19, however LUS requires a skilled clinician to interpret findings. To facilitate the interpretation, our main objective was to develop automated methods to classify B-lines as pathologic vs. normal. We developed transfer learning models based on ResNet networks to classify B-lines as pathologic (at least 3 B-lines per lung field) vs. normal using COVID-19 LUS data. Assessment of B-line severity on a 0–4 multi-class scale was also explored. For binary B-line classification, at the frame-level, all ResNet models pretrained with ImageNet yielded higher performance than the baseline nonpretrained ResNet-18. Pretrained ResNet-18 has the best Equal Error Rate (EER) of 9.1% vs the baseline of 11.9%. At the clip-level, all pretrained network models resulted in better Cohen's kappa agreement (linear-weighted) and clip score accuracy, with the pretrained ResNet-18 having the best Cohen's kappa of 0.815 [95% CI: 0.804-0.826], and ResNet-101 the best clip scoring accuracy of 93.6%. Similar results were shown for multi-class scoring, where pretrained network models outperformed the baseline model. A class activation map is also presented to guide clinicians in interpreting LUS findings. Future work aims to further improve the multi-class assessment for severity of B-lines with a more diverse LUS dataset.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/EMBC48229.2022.9871894,"",,
rayyan-601300139,Multiclass Eye Disease Classification on Fundus Images Using EfficientNet-B3 and Grad-CAM,2025,,,"2025 International Conference on Computer Engineering, Network and Intelligent Multimedia (CENIM)",,,,449-455,A. P. Ramadhani and T. A. Sardjono and E. A. Suprayitno and N. F. Hikmah,,,IEEE,,"Eye diseases such as Diabetic Retinopathy (DR), Glaucoma, and Cataract are among the main causes of global blindness, making early detection crucial to prevent irreversible retinal impairment. However, the manual evaluation of fundus images by ophthalmologists continues to be the primary diagnostic approach, limited by the availability of human resources, particularly in rural or disadvantaged areas. This study introduces an automated multi-class classification system for eye diseases using a deep learning model based on the EfficientNetB3 architecture, supported by Grad-CAM visualization to improve model interpretability. The system was trained using the Ocular Disease Intelligent Recognition (ODIR) dataset, which was categorized into five classes, including Normal, Diabetic Retinopathy (DR), Glaucoma, Cataract, and Other Diseases, the which has been simplified to only contain Age-Related Macular Degeneration (AMD). Pre-processing includes Circular Border Cropping, RGB Channel Extraction, CLAHE, Median Filtering, resizing to $300 \times 300$ pixels, and data augmentation. The model included pretrained ImageNet weights and was fine-tuned on the last $\mathbf{1 0 0}$ layers with a learning rate of $1 \mathrm{e}-6$ and a dropout rate of 0.3. The proposed model achieved a training accuracy of 97.08%, a validation accuracy of 87.20%, and a testing accuracy of 89.26%. These results indicate significant potential for medical application. The model can assist with triage or function as diagnostic tool in teleophthalmology and radiology processes. Future study may explore the application of other deep learning architectures and varied datasets to improve classification accuracy. Furthermore, combining additional imaging modalities beyond fundus images could expand the system’s application and improve diagnostic reliability.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/CENIM67940.2025.11326202,CNN;Eye Disease;Fundus Image;Grad-CAM;Multi-class Classification,,
rayyan-601300140,Explainable Intelligent Multi-Feature Fusion BTB Model for Teleconsultation in 6G-Enabled Healthcare Systems,2026,,,IEEE Communications Standards Magazine,2471-2833,,99,1-7,V. S. Kumar and A. Kollu and R. Avacharmal and P. S. Pandey and M. Kameswara Rao and A. Sundaram and E. Muniyandy,,,IEEE,,"To address reliance on manual triage in current teleconsultation platforms, we propose a BTB intelligent triage model that supports next-generation 6G healthcare systems by integrating multi-feature fusion and Explainable AI (XAI) techniques. Assuming that the assigned consultation department in the dataset represents the optimal choice, the model uses patient age, gender, and preliminary diagnoses from primary care physicians to recommend appropriate specialty departments. To capture both local textual features and contextual dependencies in unstructured teleconsultation application records, the model combines BERT-based word embeddings, Text Convolutional Neural Network (TextCNN), and a double-layer Bidirectional Gated Recurrent Unit (BiGRU) network. The extracted features are fused and passed through a fully connected layer to output a ranked list of recommended departments. The model was trained and validated on large-scale data from the National Telemedicine Center. When recommending the top five departments, it achieved an accuracy of 90.77% and a Mean Reciprocal Rank (MRR) of 76.45%. Moreover, the incorporation of explainability enables clinicians and patients to understand the rationale behind AI-driven recommendations, fostering trust and transparency. Experimental comparisons confirm that the proposed model significantly outperforms traditional machine learning approaches, offering a robust and interpretable solution for intelligent triage in teleconsultation-based consumer healthcare platforms.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/MCOMSTD.2026.3673852,"",,
rayyan-601300141,AI and IoT-Integrated Smart Devices for Enhanced Vision Screening and Diagnosis in Eye Care,2024,,,"2024 2nd International Conference on Signal Processing, Communication, Power and Embedded System (SCOPES)",,,,1-6,S. Mereddy and S. Polaki and A. K. M and M. Ch and P. M. K and S. D,,,IEEE,,"This study explores the integration of Artificial Intelligence (AI) and the Internet of Things (IoT) in optometry for enhanced vision screening and diagnosis. Using IoT-enabled smart devices and AI models, including a convolutional neural network (CNN), the system achieved a 95.6% accuracy in classifying retinal diseases. SHAP analysis provided interpretability, with refractive error emerging as the most influential feature in visual acuity classification. Real-time monitoring enabled continuous assessment of visual parameters, triggering automated alerts for early intervention. Clinical validation showed high sensitivity (93.2%) and specificity (91.7%), while a user satisfaction score of 4.5 out of 5 indicated patient acceptance. The AI-IoT integrated system offers a scalable solution for proactive eye care, facilitating early diagnosis and personalized management. Future research will focus on integrating advanced diagnostics and expanding tele-optometry services to improve accessibility and effectiveness in diverse healthcare settings.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/SCOPES64467.2024.10991151,Smart Eye Care;AI in Vision Screening;IoT-Enabled Eye Care;Retinal Disease Classification;Real-Time Visual Monitoring,,
rayyan-601300142,"Advances and Challenges in AI-Powered Medical Chatbots: Leveraging LLMs, CNNs, and Multimodal Systems for Clinical Applications",2025,,,"2025 3rd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIHEI)",,,,1-6,N. Pardhi and S. Hajare and T. Chute and A. S and N. Agade and D. Timande,,,IEEE,,"Artificial intelligence (AI)-powered medical chatbots are emerging as transformative tools in healthcare, offering capabilities that range from patient triage and diagnostic assistance to chronic disease management and medical education. Recent advancements in large language models (LLMs), convolutional neural networks (CNNs), and multimodal architectures have significantly enhanced their ability to process complex medical data and deliver contextually accurate, patient-specific responses. This paper critically examines 26 recent works, with a focused analysis of ten primary studies, to evaluate the methodologies, performance metrics, and clinical applicability of state-of-the-art medical chatbot systems. The review highlights models such as MiniGPT-Med, ECG-Chat, MediGPT, and CNN-LSTM hybrids, which achieved accuracies exceeding 90% in specific diagnostic tasks, while also identifying limitations related to dataset diversity, interpretability, and real-world validation. The discussion underscores key challenges, including regulatory compliance, privacy preservation, and integration into existing clinical workflows. By synthesizing cross-disciplinary insights, this paper provides a consolidated view of current progress, critical gaps, and strategic directions necessary to enable safe, ethical, and scalable deployment of AI-based medical chatbots in global healthcare systems.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/IDICAIHEI65991.2025.11378806,Artificial intelligence;medical chatbots;large language models;convolutional neural networks;multimodal AI;clinical decision support,,
rayyan-601300143,Testing the Generalizability of an Automated Method for Explaining Machine Learning Predictions on Asthma Patients’ Asthma Hospital Visits to an Academic Healthcare System,2020,,,IEEE Access,2169-3536,8,,195971-195979,Y. Tong and A. I. Messinger and G. Luo,,,IEEE,,"Asthma puts a tremendous overhead on healthcare. To enable effective preventive care to improve outcomes in managing asthma, we recently created two machine learning models, one using University of Washington Medicine data and the other using Intermountain Healthcare data, to predict asthma hospital visits in the next 12 months in asthma patients. As is common in machine learning, neither model supplies explanations for its predictions. To tackle this interpretability issue of black-box models, we developed an automated method to produce rule-style explanations for any machine learning model's predictions made on imbalanced tabular data and to recommend customized interventions without lowering the prediction accuracy. Our method exhibited good performance in explaining our Intermountain Healthcare model's predictions. Yet, it stays unknown how well our method generalizes to academic healthcare systems, whose patient composition differs from that of Intermountain Healthcare. This study evaluates our automated explaining method's generalizability to the academic healthcare system University of Washington Medicine on predicting asthma hospital visits. We did a secondary analysis on 82,888 University of Washington Medicine data instances of asthmatic adults between 2011 and 2018, using our method to explain our University of Washington Medicine model's predictions and to recommend customized interventions. Our results showed that for predicting asthma hospital visits, our automated explaining method had satisfactory generalizability to University of Washington Medicine. In particular, our method explained the predictions for 87.6% of the asthma patients whom our University of Washington Medicine model accurately predicted to experience asthma hospital visits in the next 12 months.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ACCESS.2020.3032683,Asthma;automated explanation;extreme gradient boosting;machine learning;patient care management;predictive model,,
rayyan-601300144,Multimodal Deep Learning for Pediatric Mild Traumatic Brain Injury Detection,2023,,,2023 IEEE EMBS International Conference on Biomedical and Health Informatics (BHI),2641-3604,,,1-4,B. Mazumder and D. K. Tripathy and K. O. Yeates and M. H. Beauchamp and W. Craig and Q. Doan and S. B. Freedman and C. Lebel and R. Zemek and A. L. Ware and D. Hye Ye,,,IEEE,,"Despite its prevalence, little is known about the pathophysiology of mild traumatic brain injury (mTBI). This makes it difficult for clinicians to accurately diagnose mTBI and to predict outcomes in affected children, thereby highlighting the urgent need to identify novel and efficacious biomarkers of pediatric mTBI. To address this important knowledge gap, this study introduced a multimodal magnetic resonance imaging (MRI) based deep learning approach toward the classification of mTBI as compared with mild orthopedic injury (OI) by considering both structural MRI (sMRI) and diffusion tensor imaging (DTI). Firstly, convolutional features were extracted by employing a pre-trained DenseNet to capture the morphological features of both modalities. Next, by employing Deep Canonical Correlation Analysis (DCCA), distinct features obtained from the sMRI and DTI data were integrated into a multi-modal embedding. The obtained DCCA fused compact multimodal features were then fed to a random forest (RF) classifier that was used to classify mTBI versus mild OI. Additionally, to visualize the intra-individually heterogeneous brain regions that DenseNet most heavily relied upon for making classification, Gradient-weighted Class Activation Mapping (Grad-CAM) was applied to the DenseNet outcomes for both modalities. According to the experimental outcomes on the clinical dataset, the introduced multimodal deep learning strategy improved the classification accuracy by 8.6% (from 75.8% to 84.4%) and 7.8% (from 76.6% to 84.4%) when compared to the unimodal morphological features, as generated from sMRI and DTI.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/BHI58575.2023.10313520,Mild Traumatic Brain Injury;Deep Learning;Transfer Learning;Multi-modal;Explainable AI,,
rayyan-601300145,Integrating Cognitive Science and AI for Skin Disorder Detection,2026,,,"2026 Innovations in Machine, Engineering, and Digital Conference (IMED)",,,,1-5,A. Kulkarni and P. Pawar and B. Pansare and H. Raje and R. Patil,,,IEEE,,"Dermatological diagnosis has faith in heavily on expert visual interpretation nevertheless remains vulnerable to variability arising from inconsistent imaging conditions, inadequate specialist availability, and subjective assessment. To incorporate these challenges, this paper introduces CogDermNet, a conceptual framework for real-time diagnostic support that incorporates cognitive science principles with artificial intelligence for detection of various types of skin disorders. The presented architecture incorporates cognitive visual awareness, memory-augmented reasoning, and multimodal contextual incorporation to mimic human perceptual and analytical activities. CogDermNet is aimed to process dermoscopic and clinical images acquired in various real-world sceneries and to produce interpretable predictions accompanied by human-associated justifications. Even though the system has not yet endured clinical or experimental estimation, this case study explains its potential applicability in primary care triage, remote dermatology, and telemedicine systems. By grounding AI components in cognitive procedures, CogDermNet seeks to enhance transparency, decrease diagnostic vagueness, and support trustworthy decision-making in forthcoming dermatology applications.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/IMED68921.2026.11484317,Cognitive artificial intelligence;memory augmented reasoning;explainable AI;visual attention mechanism,,
rayyan-601300146,Explainable Deep Learning Approach for Binary Kidney Stone Detection in CT Imaging Using MobileNetV2,2025,,,2025 IEEE 7th International Conference on Sustainable Technologies For Industry 5.0 (STI),2996-170X,,,1-6,A. A. Ahmad and M. A. Johab and D. K. Dutta and M. A. Wadud and N. Tasnim and N. Aman,,,IEEE,,"Accurate detection of kidney stones in axial CT images is essential for timely diagnosis and management, yet manual interpretation remains time-consuming and prone to inter-reader variability. To address this challenge, a deep learning-based explainable framework is proposed for binary classification of stone vs. non-stone cases. The dataset includes 3,364 original CT images and $\mathbf{3 5, 4 5 7}$ augmented images, all clinically verified, ensuring both reliability and diversity for robust training. Three convolutional neural networks-AlexNet, DenseNet121 and MobileNetV2-were evaluated under a unified transfer-learning strategy with standard augmentation and early-stopping. To enhance transparency, Explainable AI (XAI) techniques such as class-activation/Grad-CAM heatmaps were employed, providing visual localization of decision-critical regions consistent with radiological findings. Experimental results demonstrate that the proposed MobileNetV2-based model achieved the highest classification accuracy of 99.72%, outperforming AlexNet and DenseNet121 while maintaining computational efficiency. The integration of XAI confirmed that the model’s predictions align with clinically relevant stone features, thereby improving interpretability and clinical trust. These findings highlight the potential of lightweight CNNs combined with explainability to deliver fast, accurate and interpretable decision-support tools for kidney stone detection in routine CT imaging, with applications in workflow triage, quality assurance and future prospective validation.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/STI69347.2025.11367555,Kidney stone;CT imaging;deep learning;MobileNetV2;Explainable AI;medical image classification,,
rayyan-601300147,"AI-Driven Diagnostics and Predictive Maintenance in NPI Service Engineering: A Comprehensive Survey of Methods, Applications, and Future Directions",2025,,,"2025 4th International Conference on Smart Cities, Automation & Intelligent Computing Systems (ICON-SONICS)",,,,101-108,M. Godbole and A. Jadhav,,,IEEE,,"Artificial intelligence (AI) and machine learning (ML) are increasingly transforming how complex electromechanical products are diagnosed, serviced, and maintained. However, their integration within the New Product Introduction (NPI) phase remains fragmented across design, manufacturing, and service domains. This survey provides a comprehensive overview of AI-driven diagnostics and predictive maintenance frameworks specifically applied in NPI Service Engineering. The study systematically reviews recent literature and industrial implementations to identify core techniques such as data-driven fault detection, digital twins, and physics-informed models, along with their roles in improving fault triage accuracy, mean time to repair (MTTR), and first-time fix rates (FTF). A structured taxonomy is developed to classify methods based on learning paradigms, data sources, and system hierarchy levels. Comparative analysis reveals that hybrid AI models-combining physical modeling with deep learning-offer the highest potential for early anomaly detection and cross-domain integration. Finally, the paper highlights research gaps in dataset standardization, model interpretability, and real-time deployment within field environments, offering a roadmap for future AI-augmented NPI ecosystems.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ICON-SONICS67145.2025.11309261,New Product Introduction (NPI);Service Engineering;Predictive Maintenance;Diagnostics;Artificial Intelligence (AI);Machine Learning (ML);Digital Twin;Federated Learning;Explainable AI (XAI),,
rayyan-601300148,Glaucoma Screening on Retinal Fundus Images with Deep Learning,2026,,,2026 IEEE 5th International Multidisciplinary Conference on Engineering Technology (IMCET),,,,1-5,A. Duru,,,IEEE,,"Glaucoma is a leading cause of irreversible vision loss, and effective screening relies on accurate identification of glaucomatous optic neuropathy from routine ocular imaging. Fundus photography is widely used as a supportive modality in clinical practice because it provides a direct view of the optic nerve head and adjacent retinal structures. In this study, a public retinal fundus dataset was used to evaluate the extent to which deep learning models can support glaucoma screening, while quantifying the effect of different backbone choices and hyperparameter configurations on performance. Training and evaluation pipeline was implemented considering a fair comparison across models. Under a matched experimental protocol, four convolutional neural networks were fine-tuned, including ResNet-50, DenseNet-121, EfficientNet-B0, and ConvNeXt-Tiny. The best-performing configuration achieved ROC-AUC = 0.971, accuracy = 0.940 on the subject-level test folds, with sensitivity = 0.957 and specificity = 0.923. Model interpretability was further examined using Grad-CAM, and the resulting maps generally highlighted clinically relevant regions around the optic disc, providing qualitative support for the decision process. Overall, these findings suggest that automated glaucoma screening from retinal fundus images can serve as a useful component of clinical decision support systems for triage and prioritization.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/IMCET69180.2026.11503786,Glaucoma detection;medical image classification;retinal fundus;artificial intelligence;deep learning,,
rayyan-601300149,BioBridge: Unified Bio-Embedding With Bridging Modality in Code-Switched EMR,2024,,,IEEE Access,2169-3536,12,,141866-141877,J. Jeon and S. Cho and D. Lee and C. Lee and J. Kim,,,IEEE,,"Pediatric Emergency Department (PED) overcrowding presents a significant global challenge, prompting the need for efficient solutions. This paper introduces the BioBridge framework, a novel approach that applies Natural Language Processing (NLP) to Electronic Medical Records (EMRs) in written free-text form to enhance decision-making in PED. In non-English speaking countries, such as South Korea, EMR data is often written in a Code-Switching(CS) format that mixes the native language with English, with most code-switched English words having clinical significance. The BioBridge framework consists of two core modules: “bridging modality in context” and “unified bio-embedding.” The “bridging modality in context” module improves the contextual understanding of bilingual and code-switched EMRs. In the “unified bio-embedding” module, the knowledge of the model trained in the medical domain is injected into the encoder-based model to bridge the gap between the medical and general domains. Experimental results demonstrate that the proposed BioBridge significantly performance traditional machine learning and pre-trained encoder-based models on several metrics, including F1 score, area under the receiver operating characteristic curve (AUROC), area under the precision-recall Curve (AUPRC), and Brier score. Specifically, BioBridge-XLM achieved enhancements of 0.85% in F1 score, 0.75% in AUROC, and 0.76% in AUPRC, along with a notable 3.04% decrease in the Brier score, demonstrating marked improvements in accuracy, reliability, and prediction calibration over the baseline XLM model. The source code will be made publicly available at https://github.com/jjy961228/BioBridge.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ACCESS.2024.3467251,Natural language processing;code-switching;electronic medical record;emergency department;pediatric emergency department,,
rayyan-601300150,Intelligent Symptom Conversations: New Frontiers in AI-Powered Preliminary Healthcare Diagnosis,2025,,,2025 International Conference on Future Technologies (ICFT),,,,1-8,K. S. Charan and B. D. Surya Manikanta and V. Sathiya Suntharam and B. M. Sai,,,IEEE,,"Recent advances in AI and NLP now enable conversational healthcare assistants to perform preliminary diagnoses based on users' reported symptoms. The paper presents Intelligent Symptom Conversations, which represents a systematic review and conceptual framework that follows the development of digital triage, starting with rule-based chatbots and classical machine learning models, passing through modern large language models (LLMs), retrieval-augmented generation (RAG), and multi-agent systems. These systems are critically compared in terms of their diagnostic accuracy, scalability, and interpretability, but the most persistent issues are bias, hallucination, and the threat of compromised data privacy. We conclude that the analysis of the data has revealed that LLM-based platforms have significant advantages compared to other systems in terms of flexibility and diagnostic accuracy, which are still flawed by opaque reasoning, the absence of clinical validation, and regulation inconsistency. Markedly enough, the research gaps, such as the absence of multimodal input facilities, the inability to clearly make decisions, and the neglect of indigenous medical systems, such as Ayurveda, are also brought to the fore in this review. These discoveries guide the future agenda of creating safer, interpretable and culturally accommodating AI medical aides.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ICFT66708.2025.11336630,Artificial Intelligence (AI);Natural Language Processing (NLP);Digital triage;Rule-Based Chatbots;Large Language Models (LLMs);Retrieval-Augmented Generation (RAG);Machine Learning Models;Bias;Hallucination;Multi Agent Systems;Explainability;Clinical Validation;Traditional Medicine (Ayurveda),,
